wav,transcript,accent
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0046.wav,The girl faced him her eyes shining with sudden fear,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0047.wav,Close beside him gleamed the white fangs of the wolf dog,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0048.wav,He looked at the handkerchief more closely,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0049.wav,Gregson was asleep when he reentered the cabin,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0050.wav,In spite of their absurdity the words affected Philip curiously,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0051.wav,The lace was of a delicate ivory color faintly tinted with yellow,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0052.wav,It was a curious coincidence,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0053.wav,Suddenly his fingers closed tightly over the handkerchief,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0054.wav,There was nothing on the rock,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0055.wav,Philip stood undecided his ears strained to catch the slightest sound,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0056.wav,Pearce's little eyes were fixed on him shrewdly,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0057.wav,I have no idea replied Philip,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0058.wav,I came for information more out of curiosity than anything else,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0059.wav,His immaculate appearance was gone,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0060.wav,Anyway no one saw her like that,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0061.wav,Philip snatched at the letter which Gregson held out to him,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0062.wav,The men stared into each other's face,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0063.wav,Yes it was a man who asked a stranger,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0064.wav,The fourth and fifth days passed without any developments,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0065.wav,They closed now until his fingers were like cords of steel,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0066.wav,He saw Jeanne falter for a moment,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0067.wav,Surely I will excuse you she cried,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0068.wav,In a flash Philip followed its direction,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0069.wav,It was his intention to return to Eileen and her father,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0070.wav,He would first hunt up Gregson and begin his work there,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0071.wav,What was the object of your little sensation,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0072.wav,But who was Eileen's double,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0073.wav,The promoter's eyes were heavy with little puffy bags under them,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0074.wav,And now down there Eileen was waiting for him,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0075.wav,There has been a change she interrupted him,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0076.wav,The gray eyes faltered the flush deepened,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0077.wav,It is the fire partly she said,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0078.wav,Then and at supper he tried to fathom her,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0079.wav,It was a large canoe,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0080.wav,What if Jeanne failed him,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0081.wav,What if she did not come to the rock,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0082.wav,His face was streaming with blood,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0083.wav,A shadow was creeping over Pierre's eyes,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0084.wav,Scarcely had he uttered the name when Pierre's closing eyes shot open,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0085.wav,A trickle of fresh blood ran over his face,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0086.wav,Death had come with terrible suddenness,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0087.wav,Philip bent lower and stared into the face of the dead man,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0088.wav,He made sure that the magazine was loaded and resumed his paddling,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0089.wav,The night glow was treacherous to shoot by,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0090.wav,The singing voice approached rapidly,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0091.wav,His blood grew hot with rage at the thought,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0092.wav,He went down in midstream searching the shadows of both shores,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0093.wav,For a full minute he crouched and listened,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0094.wav,He had barely entered this when he saw the glow of a fire,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0095.wav,A big canvas tent was the first thing to come within his vision,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0096.wav,Perhaps she had already met her fate a little deeper in the forest,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0097.wav,Then you can arrange yourself comfortably among these robes in the bow,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0098.wav,Shall I carry you,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0099.wav,A maddening joy pounded in his brain,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0100.wav,You must sleep he urged,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0101.wav,You you wouldn't keep the truth from me,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0102.wav,He will follow us soon,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0103.wav,But there came no promise from the bow of the canoe,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0104.wav,She was sleeping under his protection as sweetly as a child,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0105.wav,Only it is so wonderful so almost impossible to believe,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0106.wav,The emotion which she had suppressed burst forth now in a choking sob,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0107.wav,If you only could know how I thank you,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0108.wav,He waded into the edge of the water and began scrubbing himself,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0109.wav,Do you know that you are shaking my confidence in you,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0110.wav,Much replied Jeanne as tersely,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0111.wav,Instead he joined her and they ate like two hungry children,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0112.wav,He was wounded in the arm,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0113.wav,I suppose you picked that lingo up among the Indians,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0114.wav,Her words sent a strange chill through Philip,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0115.wav,He had no excuse for the feelings which were aroused in him,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0116.wav,Was it the rendezvous of those who were striving to work his ruin,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0117.wav,She added with genuine sympathy in her face and voice,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0118.wav,Pierre obeys me when we are together,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0119.wav,Jeanne was turning the bow shoreward,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0120.wav,My right foot feels like that of a Chinese debutante,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0121.wav,They ate dinner at the fifth and rested for two hours,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0122.wav,Two years ago I gave up civilization for this,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0123.wav,She had died from cold and starvation,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0124.wav,It was Jeanne singing softly over beyond the rocks,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0125.wav,He was determined now to maintain a more certain hold upon himself,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0126.wav,Each day she became a more vital part of him,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0127.wav,It was a temptation but he resisted it,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0128.wav,This one hope was destroyed as quickly as it was born,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0129.wav,Her face was against his breast,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0130.wav,She was his now forever,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0131.wav,Providence had delivered him through the maelstrom,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0132.wav,A cry of joy burst from Philip's lips,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0133.wav,Philip began to feel that he had foolishly overestimated his strength,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0134.wav,He obeyed the pressure of her hand,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0135.wav,I am going to surprise father and you will go with Pierre,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0136.wav,About him everywhere were the evidences of luxury and of age,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0137.wav,Then he stepped back with a low cry of pleasure,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0138.wav,In the picture he saw each moment a greater resemblance to Jeanne,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0139.wav,He told himself that as he washed himself and groomed his disheveled clothes,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0140.wav,Accept a father's blessing and with it this,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0141.wav,It seems like a strange pointing of the hand of God,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0142.wav,Such things had occurred before he told Philip,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0143.wav,Ah I had forgotten he exclaimed,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0144.wav,But there was something even more startling than this resemblance,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0145.wav,I have to be careful of them as they tear very easily,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0146.wav,Of course that is uninteresting she continued,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0147.wav,A moment before he was intoxicated by a joy that was almost madness,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0148.wav,Now these things had been struck dead within him,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0149.wav,For an instant he saw Pierre drawn like a silhouette against the sky,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0150.wav,Goodbye Pierre he shouted,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0151.wav,And MacDougall was beyond the trail with three weeks to spare,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0152.wav,Philip thrust himself against it and entered,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0153.wav,MacDougall tapped his forehead suspiciously with a stubby forefinger,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0154.wav,He was smooth shaven and his hair and eyes were black,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0155.wav,Won't you draw up gentlemen,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0156.wav,A strange fire burned in his eyes when Thorpe turned,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0157.wav,He had worshiped her as Dante might have worshiped Beatrice,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0159.wav,They look as though he had been drumming a piano all his life,Male Arabic
C:\Users\Usuario\Desktop\TUE\BEP 2025\data\l2arctic_release_v5.0\ABA\ABA\wav\arctic_a0160.wav,You want to go over and see his gang throw dirt,Male Arabic
